TVAL - CMリスト
期間:,2025年09月01日(月)~2025年12月31日(水)
時間帯:,05:00~28:59
エリア:,関東
期間内最新サンプルサイズ:,"個人全体 12,025,F20s 672,F30s 752,F40s 949,F50s 1,378,M20s 529,M30s 683,M40s 943,M50s 1,322,世帯 5,041"
企業名:,"キリンビール,サントリーホールディングス"
商品／ブランド名:,"キリングッドエール,ザ・プレミアム・モルツ"
CM秒数:,全CM
CM種別:,全CM
放送局:,"日本テレビ,テレビ朝日,TBS,テレビ東京,フジテレビ"
番組名:,指定なし
商品カテゴリ:,指定なし
視聴種別:,リアルタイム
利用データ:,確報
15秒換算:,する
単位:,%
レポート作成日時:,2026年05月12日(火) 17:14
データ提供元:,"Switch Media, Inc."

日付,曜日,祝日,開始時刻,エリア,集計対象都道府県,放送局,放送系列,番組,CM種別,企業,商品／ブランド,CM商品ID,CM商品名,商品カテゴリID,商品大カテゴリ,商品中カテゴリ,商品小カテゴリ,素材ID,秒数,CM内容,出演者,BGM,備考,視聴率：個人全体,視聴率：F20s,視聴率：F30s,視聴率：F40s,視聴率：F50s,視聴率：M20s,視聴率：M30s,視聴率：M40s,視聴率：M50s,視聴率：世帯
2025/12/25,木,,23:45:09,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,カンブリア宮殿,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.168555,0.147972,0.880808,0.768097,1.149435,0.613599,0.646733,1.050557,1.463297,1.774844
2025/12/25,木,,22:49:46,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,美食ファンファーレ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.182769,0.697995,1.492541,2.151429,3.890365,0.96559,0.889091,2.020163,2.42704,3.296446
2025/12/25,木,,21:51:12,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,ＳＡＳＵＫＥ,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1132942,30,右上ロゴ、徐々にピントが合う商品、グラス、商品名とロゴ、商品持つ女性、楽器持つ人大勢、別男性、別女性、ギター持ち歌う男性、手拍子、乾杯、笑顔、掲げる、女性とロゴ,綾瀬はるか、Mrs.GREEN APPLE、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、そうとういい出来です!,11.72451,10.767034,15.144713,15.347478,12.325879,7.250421,14.113067,12.461796,10.411956,16.652917
2025/12/25,木,,21:45:36,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,昭和＆平成うわっ！懐かしいなぁあったなぁグランプリ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.067172,1.043452,0.942597,2.376563,2.388049,2.792921,1.326173,1.60727,2.714793,3.099169
2025/12/25,木,,21:33:44,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,決定的映像！心に刻まれた１００人,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,4.134764,1.859263,1.817327,3.122898,6.055096,3.176207,1.706015,3.091858,4.625324,5.883695
2025/12/25,木,,21:07:11,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ぐるぐるナインティナイン,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,7.560506,7.517448,7.002164,9.135598,10.22598,4.682468,6.083347,6.03087,6.938036,10.86738
2025/12/25,木,,20:29:09,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,昭和＆平成うわっ！懐かしいなぁあったなぁグランプリ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.896715,1.37981,1.856598,2.753701,2.977489,2.437357,1.275496,2.531931,3.030928,3.923456
2025/12/25,木,,18:47:12,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,昭和の名曲１００年先も残したい名曲,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.311567,0.925853,0.920638,1.241956,1.452842,0.737583,1.146543,0.465623,1.054501,3.669268
2025/12/25,木,,18:29:09,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,昭和の名曲１００年先も残したい名曲,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.163506,0.572822,1.080297,1.287147,1.748082,0.361832,1.162458,0.761795,1.130942,3.438613
2025/12/24,水,,26:39:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,テレビ朝日ドリームフェスティバル,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.251605,0.421391,0,0.507352,0.291161,0,0.182598,0.288937,0.377209,0.452429
2025/12/24,水,,26:23:01,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,テレビ朝日ドリームフェスティバル,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.347004,0.611287,0.125897,0.602916,0.357341,0.431991,0.500249,0.288937,0.377209,0.577189
2025/12/24,水,,26:12:15,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,日曜劇場「ラストマン−全盲の捜査官−」,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.331916,0.490107,0.535096,0.305063,0.435302,0.181607,0.182598,0.590612,0.222382,0.62729
2025/12/24,水,,24:20:07,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,ＦＮＮＬｉｖｅＮｅｗｓα,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.583909,1.13824,0.87475,1.482847,2.101658,1.415073,0.613191,1.841206,2.191086,2.399244
2025/12/24,水,,23:09:47,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,報道ステーション,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,3.400846,2.401928,2.234961,3.164905,4.304384,2.263471,2.031671,3.362583,4.462761,5.157154
2025/12/24,水,,22:46:09,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,ＨａｐｐｙＭＵＳＩＣアワー！！！,TIME,キリンビール,キリングッドエール,182507,キリングッドエール,129,酒類,ビール,国産,1134353,30,右上ロゴ、ロゴバック、男女4人、商品、グラス、感想次々、ポーズ、乾杯、飲む、発泡、缶とグラス、一言,綾瀬はるか、大森元貴(Mrs.GREEN APPLE)、鈴木亮平、浜辺美波,Mrs. GREEN APPLE/GOOD DAY,KIRIN、まったく新しい味とは?、GOODALE、キリングッドエール、まったく新しいキリンビールはじまる、名作の予感です!,6.898278,7.206458,9.383748,9.313286,9.374863,4.696365,5.551512,5.591651,5.837906,10.079965
2025/12/24,水,,21:53:46,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,世界の何だコレ！？ミステリー,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.523386,1.771733,1.358523,2.85016,3.433736,1.482007,1.072249,2.799745,2.985134,3.8385
2025/12/24,水,,21:45:01,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,一流アスリートが目撃！スポーツ伝説の試合ベスト１０,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.494452,1.512964,0.755301,1.441585,3.038238,1.335384,2.192174,2.11191,3.491357,3.627042
2025/12/24,水,,21:24:01,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,１周回って知らない話,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,5.614724,4.874349,4.159297,5.123902,7.914993,4.763893,3.422547,5.110316,4.312016,8.364992
2025/12/24,水,,20:16:35,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,世界の何だコレ！？ミステリー,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,4.455892,2.237188,2.760576,4.505461,5.686678,2.55876,1.942125,4.013693,5.276662,5.924413
2025/12/24,水,,19:26:01,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,一流アスリートが目撃！スポーツ伝説の試合ベスト１０,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.649303,1.200724,1.160402,1.056666,1.836236,0.931513,1.781447,1.057827,1.443622,2.200982
2025/12/24,水,,18:20:59,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,ＬｉｖｅＮｅｗｓイット！,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.185652,1.39307,1.094956,2.633903,2.905946,0.628529,1.090956,2.405011,1.360983,3.429512
2025/12/23,火,,26:46:54,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,ＥＩＧＨＴ−ＪＡＭ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.42192,0.337867,0.17573,0.219304,0.507006,0.6332,0.471178,0.414798,0.830588,0.721838
2025/12/23,火,,26:23:27,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ朝日,テレビ朝日系列,ＥＩＧＨＴ−ＪＡＭ,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.573492,0.527763,0.17573,0.534172,0.864348,0.849196,0.605546,0.638865,0.919179,0.91936
2025/12/23,火,,24:53:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,上田と女ＤＥＥＰ＆そこから先は地獄,SB,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,1.443891,1.352963,1.44307,1.205202,2.766149,1.081923,1.383555,1.730239,1.742588,2.36125
2025/12/23,火,,24:43:31,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,タイムレスマン,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.692799,0.69746,0.606097,1.53608,1.432281,0.563627,0.336125,1.13179,0.898875,1.143564
2025/12/23,火,,24:05:52,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",フジテレビ,フジテレビ系列,ＦＮＮＬｉｖｅＮｅｗｓα,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,0.986089,0.521886,0.506088,1.025866,1.559123,0.192547,0.810189,1.098454,1.435792,1.617729
2025/12/23,火,,23:07:23,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,今さらシロー！,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.909743,1.840641,3.286052,3.31143,4.536715,1.760453,2.97766,3.153538,3.163414,4.251429
2025/12/23,火,,22:40:53,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,ワールドビジネスサテライト,TIME,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147228,30,左上ロゴ、女性、料理運ぶ、食卓、男女3人、ツリーと夜景、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品、会話続く,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.955766,1.525434,0.975824,1.284465,2.288456,0.863982,2.516767,2.602876,3.076618,5.213256
2025/12/23,火,,21:50:56,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",テレビ東京,テレビ東京系列,開運！なんでも鑑定団,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,2.078964,0.887684,0.513732,0.846537,1.457444,0.408543,0.912714,1.337342,1.432562,3.22285
2025/12/23,火,,21:41:53,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",TBS,TBS系列,マツコの知らない世界,PT,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147222,15,夜景、男女3人、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,5.380383,6.199935,6.063813,6.284824,8.703518,4.652471,4.746329,5.800218,5.39432,7.568
2025/12/23,火,,19:54:04,関東,"茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県",日本テレビ,日本テレビ系列,踊る！さんま御殿！！,TIME,サントリーホールディングス,ザ・プレミアム・モルツ,60143,ザ・プレミアム・モルツ,129,酒類,ビール,国産,1147228,30,左上ロゴ、女性、料理運ぶ、食卓、男女3人、ツリーと夜景、会話、紙を出す、お世辞、乾杯、飲む、夜景バック、泡溢れる、商品、会話続く,広瀬すず、伊藤沙莉、オダギリジョー、(声)鮎川麻弥,,水と生きる SUNTORY、The プレモル子ちゃん～、人生はゆっくりおいしくなる,10.923741,9.009603,9.90581,12.367252,16.768094,6.853608,7.803794,9.517637,11.140244,16.326984
